PROG,USO,DESTINAZIONE,PORTATA,FLAG_ANN_MASSA_RIMORC,CILINDRATA,ALIMENTAZIONE,MASSA_RIMORCHIABILE,NUMERO_POSTI,TIPO_ALIMENTAZIONE_IMPIANTO,KW,DT_PRIMA_IMMATRICOLAZIONE,NUMERO_ASSI,COD_SIGLA_EURO,EMISSIONI_CO2,PESO_COMPLESSIVO,COD_ISTAT_COMUNE,COD_ISTAT_PROVINCIA
8071238,0,A,440,P,01242,B,750,4,,44,2007,2,EURO4,1390,1460,005,012
13717173,0,A,480,P,"1390,00",B,1000,5,,63,2014,2,EURO5,1390,1550,075,013
12125961,0,A,430,P,"1598,00",G,1300,5,,77,2011,2,EURO5,1140,1815,001,016
13827999,0,A,891,P,1997,G,1800,7,,120,2010,2,EURO5,159,2505,157,016
11065911,0,M,90,A,00299,B,0,2,,24.1,2009,2,EURO3,0,353,183,015
8311214,0,A,390,P,01108,B,400,4,,40,2006,2,EURO4,1390,1200,202,015
7910922,0,A,445,P,01229,B,850,5,,59,2007,2,EURO4,1390,1575,026,015
14395860,0,A,515,P,"1368,00",B,1000,5,,73.6,2015,2,EURO6,1270,1600,059,012
1880812,0,A,185,A,00698,B,,2,,45,2003,2,EURO4,1130,990,035,019
9252509,4,J,750,A,00000,,0,0,,0,2000,1,,0,1000,130,012
14648932,0,A,368,P,"1396,00",B,1300,5,,66.2,2015,2,EURO6,1300,1710,031,098
12367259,0,A,467,P,"1560,00",G,1500,5,,82,2011,2,EURO5,1180,1860,012,097
12729364,0,A,435,P,"1586,00",B,1200,5,,88,2011,2,EURO5,1410,1650,146,015
6960601,5,V,8450,A,12882,G,,2,,324,2003,4,EURO3,0,32000,091,016
15964821,0,M,107,A,"278,00",B,0,2,,15.5,2017,2,EURO4,0,375,043,017
10633211,0,A,485,P,01368,B,1000,5,,57,2009,2,EURO4,1390,1600,098,015
1543696,0,A,392,P,01422,G,1000,5,,55,2004,2,EURO3,1220,1640,183,016
12730679,0,M,0,A,1170,B,0,2,,74,,2,EURO3,0,435,075,013
2088643,0,A,402,P,01896,G,1300,5,,74,2003,2,EURO3,1380,1800,187,017
12061766,0,M,75,A,"125,00",B,0,2,,7,2011,2,EURO3,0,273,146,015
10400136,4,C,1557,P,02464,G,2000,3,,88,2009,2,EURO4,2320,3500,201,013
13480587,0,A,505,P,"1461,00",G,1200,5,,55,2013,2,EURO5,950,1651,024,016
14774661,0,A,421,P,"1229,00",B,700,5,,51,2016,2,EURO6,1260,1620,171,015
13342969,0,A,1490,P,1368,GPL,900,4,,57,,2,EURO5,0,2390,011,015
